[2019-11-14 11:50:43.458] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
[2019-11-14 11:50:43.459] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalScheduledAnnotationProcessor'
[2019-11-14 11:50:43.459] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.scheduling.annotation.SchedulingConfiguration'
[2019-11-14 11:50:43.468] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'methodValidationPostProcessor'
[2019-11-14 11:50:43.480] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:777] | Autowiring by type from bean name 'methodValidationPostProcessor' via factory method to bean named 'environment'
[2019-11-14 11:50:43.483] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'dataSourceInitializerPostProcessor'
[2019-11-14 11:50:43.485] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
[2019-11-14 11:50:43.498] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'persistenceExceptionTranslationPostProcessor'
[2019-11-14 11:50:43.499] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:777] | Autowiring by type from bean name 'persistenceExceptionTranslationPostProcessor' via factory method to bean named 'environment'
[2019-11-14 11:50:43.501] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'webServerFactoryCustomizerBeanPostProcessor'
[2019-11-14 11:50:43.501] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'errorPageRegistrarBeanPostProcessor'
[2019-11-14 11:50:43.501] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'dataSourceInitializedPublisher'
[2019-11-14 11:50:43.503] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'projectingArgumentResolverBeanPostProcessor'
[2019-11-14 11:50:43.504] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[2019-11-14 11:50:43.504] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration'
[2019-11-14 11:50:43.523] [restartedMain] [INFO] | [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330] | Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$a9ccb202] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2019-11-14 11:50:43.529] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'transactionAttributeSource'
[2019-11-14 11:50:43.532] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'transactionInterceptor'
[2019-11-14 11:50:43.542] [restartedMain] [DEBUG] | [o.s.u.c.s.UiApplicationContextUtils:85] | Unable to locate ThemeSource with name 'themeSource': using default [org.springframework.ui.context.support.ResourceBundleThemeSource@494d300d]
[2019-11-14 11:50:43.543] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'tomcatServletWebServerFactory'
[2019-11-14 11:50:43.543] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.ServletWebServerFactoryConfiguration$EmbeddedTomcat'
[2019-11-14 11:50:43.561] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'websocketServletWebServerCustomizer'
[2019-11-14 11:50:43.562] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.websocket.servlet.WebSocketServletAutoConfiguration$TomcatWebSocketConfiguration'
[2019-11-14 11:50:43.564] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'servletWebServerFactoryCustomizer'
[2019-11-14 11:50:43.564] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.ServletWebServerFactoryAutoConfiguration'
[2019-11-14 11:50:43.565] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
[2019-11-14 11:50:43.584] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:777] | Autowiring by type from bean name 'servletWebServerFactoryCustomizer' via factory method to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
[2019-11-14 11:50:43.585] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'tomcatServletWebServerFactoryCustomizer'
